Program Name,DBA,Latitude,Longitude,Street,City,State,Zipcode,Phone,Certification,FullCertification
Community Health Center,CHC Addiction Services,,,725 East Market St.,Akron,OH,44305,(330) 434-4141,Certified,8/24/03
"BrightView, LLC OTP Akron",,,,999 North Main Street,Akron,OH,44310,(513) 834-7063,Certified,12/16/20
"New Season of Ohio, LP",New Season Akron Treatment Center,,,1900 West Market Street,Akron,OH,44313,(234) 901-2590,Certified,3/5/21
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Amherst,,,530 North Leavitt Rd,Amherst,OH,44001,(440) 328-4213,Certified,12/17/20
"BrightView, LLC OTP Ashtabula",BrightView,,,2210 South Ridge Road East,Ashtabula,OH,44004,(513) 834-7063,Certified,7/29/21
"Health Recovery Services, Inc.",,,,224 Columbus Road,Athens,OH,45701,(740) 592-6724,Certified,8/26/16
"Pinnacle Treatment Centers OH-XVI, LLC",Athens Treatment Services,,,8978 United Lane,Athens,OH,45701,(740) 274-4246,Certified,12/15/21
"Pinnacle Treatment Centers OH-III, LLC",Akron Treatment Services,,,87 Conservatory Drive,Barberton,OH,44203,(234) 334-4203,Certified,8/23/19
"Clermont Recovery Center, Inc.","Clermont Recovery Center, Inc.",,,"1088 Wasserman Way, Suite C",Batavia,OH,45103,(513) 735-8100,Certified,6/17/15
"BrightView, LLC OTP Batavia",,,,1090 Hospital Dr.,Batavia,OH,45103,(833) 510-4357,Certified,4/16/20
"BrightView, llc OTP Youngstown",,,,930 Trailwood Drive,Boardman,OH,44512,(513) 834-7063,Certified,10/25/21
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Youngstown,,,900 Sahara Trail,Boardman,OH,44514,(330) 267-9020,Certified,11/25/22
"Pinnacle Treatment Centers OH-XI, LLC",Brilliant Treatment Services,,,1479 3rd Street,Brilliant,OH,43913,(740) 598-2054,Certified,12/14/21
"CommQuest Services, Inc.",,,,1341 Market Avenue North,Canton,OH,44714-2675,(330) 453-8252,Certified,5/9/06
"Pinnacle Treatment Centers OH-II, LLC",Chillicothe Treatment Services,,,606 Central Center,Chillicothe,OH,45601,(740) 771-3553,Certified,1/9/19
"BrightView, LLC OTP Chillicothe",,,,126 E 2nd St.,Chillicothe,OH,45601,(513) 834-7063,Certified,4/20/20
Chillicothe Acute Care Clinic Inc.,Anchor Addiction and Wellness Center,,,3 Medical Drive,Chillicothe,OH,45601,(740) 779-6612,Provisional,
Talbert House OTP,,39.13460928,-84.50215063,3009 Burnet Avenue,Cincinnati,OH,45219,(513) 751-7747,Provisional,
